macro_action,count,rate
GO_RESOURCE,94,0.3219178082191781
PRODUCE_SEMICONDUCTOR,86,0.2945205479452055
GO_CENTER,64,0.2191780821917808
WAIT_BUSY,37,0.1267123287671233
SAVE_COMPUTE,4,0.0136986301369863
HARVEST,3,0.010273972602739725
RECRUIT_CAR,2,0.00684931506849315
RECRUIT_DRONE,1,0.003424657534246575
OCCUPY_CENTER,1,0.003424657534246575
