strategic_state,count,rate
CENTER_CONTROL,128,0.3386243386243386
ECONOMY_STABILIZE,118,0.31216931216931215
none,90,0.23809523809523808
THIRD_UNIT_TIMING,41,0.10846560846560846
OPENING,1,0.0026455026455026454
