reason,count,rate
keep_state,227,0.7881944444444444
third_unit_built,38,0.13194444444444445
first_sell_done,15,0.052083333333333336
opening_done,4,0.013888888888888888
compute_enough_for_third_unit,3,0.010416666666666666
init,1,0.003472222222222222
