macro_action,count,rate
TEAM_IDLE,348,0.3778501628664495
GO_FACTORY,183,0.1986970684039088
GO_RESOURCE,127,0.13789359391965256
IDLE,54,0.05863192182410423
GO_MARKET,48,0.05211726384364821
WAIT_BUSY,26,0.02823018458197611
RETREAT,26,0.02823018458197611
GO_CENTER,26,0.02823018458197611
GO_ENEMY,25,0.02714440825190011
PRESSURE_ENEMY_FACTORY,16,0.01737242128121607
PRODUCE_SEMICONDUCTOR,13,0.014115092290988056
HARVEST,8,0.008686210640608035
LOAD_GOODS,6,0.006514657980456026
SELL_GOODS,5,0.0054288816503800215
UPGRADE_ATTACK,3,0.003257328990228013
RECRUIT_CAR,2,0.002171552660152009
PRODUCE_TOYS,2,0.002171552660152009
RECRUIT_ROBOT,1,0.0010857763300760044
PRODUCE_MEDICINE,1,0.0010857763300760044
UPGRADE_MOVE_SPEED,1,0.0010857763300760044
