macro_action,count,rate
GO_RESOURCE,126,0.28187919463087246
SAVE_COMPUTE,98,0.21923937360178972
GO_CENTER,91,0.203579418344519
PRODUCE_SEMICONDUCTOR,79,0.1767337807606264
GO_FACTORY,37,0.08277404921700224
WAIT_BUSY,9,0.020134228187919462
HARVEST,3,0.006711409395973154
RECRUIT_CAR,2,0.0044742729306487695
UPGRADE_EFFICIENCY,1,0.0022371364653243847
RECRUIT_DRONE,1,0.0022371364653243847
